id,year,country,score,overall_rank,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,trust
1,2016,Afghanistan,3.36,154,,,,,,
2,2016,Albania,4.655,109,,,,,,
3,2016,Algeria,6.355,38,,,,,,
4,2016,Angola,3.866,141,,,,,,
5,2016,Argentina,6.65,26,,,,,,
6,2016,Armenia,4.36,121,,,,,,
7,2016,Australia,7.313,9,,,,,,
8,2016,Austria,7.119,12,,,,,,
9,2016,Azerbaijan,5.291,81,,,,,,
10,2016,Bahrain,6.218,42,,,,,,
11,2016,Bangladesh,4.643,110,,,,,,
12,2016,Belarus,5.8020000000000005,61,,,,,,
13,2016,Belgium,6.928999999999999,18,,,,,,
14,2016,Belize,5.956,52,,,,,,
15,2016,Benin,3.484,153,,,,,,
16,2016,Bhutan,5.196000000000001,84,,,,,,
17,2016,Bolivia,5.822,59,,,,,,
18,2016,Bosnia and Herzegovina,5.162999999999999,87,,,,,,
19,2016,Botswana,3.9739999999999998,137,,,,,,
20,2016,Brazil,6.952000000000001,17,,,,,,
21,2016,Bulgaria,4.217,129,,,,,,
22,2016,Burkina Faso,3.739,145,,,,,,
23,2016,Burundi,2.905,157,,,,,,
24,2016,Cambodia,3.907,140,,,,,,
25,2016,Cameroon,4.513,114,,,,,,
26,2016,Canada,7.404,6,,,,,,
27,2016,Chad,3.763,144,,,,,,
28,2016,Chile,6.705,24,,,,,,
29,2016,Colombia,6.481,31,,,,,,
30,2016,Comoros,3.9560000000000004,138,,,,,,
31,2016,Costa Rica,7.087000000000001,14,,,,,,
32,2016,Croatia,5.4879999999999995,74,,,,,,
33,2016,Cyprus,5.546,69,,,,,,
34,2016,Czech Republic,6.596,27,,,,,,
35,2016,Democratic Republic of the Congo,4.236000000000001,127,,,,,,
36,2016,Denmark,7.526,1,,,,,,
37,2016,Dominican Republic,5.155,89,,,,,,
38,2016,Ecuador,5.976,51,,,,,,
39,2016,Egypt,4.362,120,,,,,,
40,2016,El Salvador,6.068,46,,,,,,
41,2016,Estonia,5.517,72,,,,,,
42,2016,Ethiopia,4.508,115,,,,,,
43,2016,Finland,7.412999999999999,5,,,,,,
44,2016,France,6.478,32,,,,,,
45,2016,Gabon,4.121,134,,,,,,
46,2016,Georgia,4.252,126,,,,,,
47,2016,Germany,6.994,16,,,,,,
48,2016,Ghana,4.276,124,,,,,,
49,2016,Greece,5.033,99,,,,,,
50,2016,Guatemala,6.324,39,,,,,,
51,2016,Guinea,3.6069999999999998,151,,,,,,
52,2016,Haiti,4.0280000000000005,136,,,,,,
