id,year,country,score,overall_rank,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
1,2018,Afghanistan,3.6319999999999997,145,0.332,0.537,0.255,0.085,0.191,0.036000000000000004
2,2018,Albania,4.586,112,0.9159999999999999,0.8170000000000001,0.79,0.419,0.149,0.032
3,2018,Algeria,5.295,84,0.9790000000000001,1.1540000000000001,0.687,0.077,0.055,0.135
4,2018,Angola,3.795,142,0.73,1.125,0.26899999999999996,0.0,0.079,0.061
5,2018,Argentina,6.388,29,1.073,1.4680000000000002,0.7440000000000001,0.57,0.062,0.054000000000000006
6,2018,Armenia,4.321000000000001,129,0.816,0.99,0.6659999999999999,0.26,0.077,0.027999999999999997
7,2018,Australia,7.272,10,1.34,1.5730000000000002,0.91,0.647,0.361,0.302
8,2018,Austria,7.138999999999999,12,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998
9,2018,Azerbaijan,5.2010000000000005,87,1.024,1.161,0.603,0.43,0.031,0.17600000000000002
10,2018,Bahrain,6.105,43,1.338,1.3659999999999999,0.698,0.594,0.243,0.12300000000000001
11,2018,Bangladesh,4.5,115,0.532,0.85,0.579,0.58,0.153,0.14400000000000002
12,2018,Belarus,5.483,73,1.0390000000000001,1.4980000000000002,0.7,0.307,0.10099999999999999,0.154
13,2018,Belgium,6.9270000000000005,16,1.324,1.483,0.894,0.583,0.188,0.24
14,2018,Belize,5.956,49,0.807,1.101,0.474,0.593,0.183,0.08900000000000001
15,2018,Benin,4.141,136,0.37799999999999995,0.37200000000000005,0.24,0.44,0.163,0.067
16,2018,Bhutan,5.082,97,0.7959999999999999,1.335,0.527,0.541,0.364,0.171
17,2018,Bolivia,5.752000000000001,62,0.7509999999999999,1.2229999999999999,0.508,0.606,0.141,0.054000000000000006
18,2018,Bosnia and Herzegovina,5.129,93,0.915,1.078,0.758,0.28,0.21600000000000003,0.0
19,2018,Botswana,3.59,146,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.042,0.092
20,2018,Brazil,6.419,28,0.986,1.474,0.675,0.493,0.11,0.08800000000000001
21,2018,Bulgaria,4.933,100,1.054,1.515,0.7120000000000001,0.359,0.064,0.009000000000000001
22,2018,Burkina Faso,4.4239999999999995,121,0.314,1.097,0.254,0.312,0.175,0.128
23,2018,Burundi,2.905,156,0.091,0.627,0.145,0.065,0.149,0.076
24,2018,Cambodia,4.433,120,0.5489999999999999,1.088,0.457,0.696,0.256,0.065
25,2018,Cameroon,4.975,99,0.535,0.8909999999999999,0.182,0.45399999999999996,0.183,0.043
26,2018,Canada,7.327999999999999,7,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004
27,2018,Central African Republic,3.083,155,0.024,0.0,0.01,0.305,0.218,0.038
28,2018,Chad,4.301,131,0.358,0.907,0.053,0.18899999999999997,0.18100000000000002,0.06
29,2018,Chile,6.476,25,1.131,1.331,0.8079999999999999,0.431,0.19699999999999998,0.061
30,2018,China,5.246,86,0.9890000000000001,1.1420000000000001,0.799,0.597,0.028999999999999998,0.10300000000000001
31,2018,Colombia,6.26,37,0.96,1.439,0.635,0.531,0.099,0.039
32,2018,Congo (Brazzaville),4.559,114,0.682,0.8109999999999999,0.34299999999999997,0.514,0.091,0.077
33,2018,Congo (Kinshasa),4.245,132,0.069,1.136,0.204,0.312,0.19699999999999998,0.052000000000000005
34,2018,Costa Rica,7.072,13,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999
35,2018,Croatia,5.321000000000001,82,1.115,1.161,0.737,0.38,0.12,0.039
36,2018,Cyprus,5.7620000000000005,61,1.229,1.1909999999999998,0.909,0.423,0.20199999999999999,0.035
37,2018,Czech Republic,6.711,21,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034
38,2018,Denmark,7.555,3,1.351,1.59,0.868,0.6829999999999999,0.284,0.408
39,2018,Dominican Republic,5.3020000000000005,83,0.982,1.4409999999999998,0.614,0.578,0.12,0.106
40,2018,Ecuador,5.973,48,0.889,1.33,0.736,0.556,0.114,0.12
41,2018,Egypt,4.419,122,0.885,1.025,0.5529999999999999,0.312,0.092,0.107
42,2018,El Salvador,6.167000000000001,40,0.8059999999999999,1.2309999999999999,0.639,0.461,0.065,0.08199999999999999
43,2018,Estonia,5.739,63,1.2,1.5319999999999998,0.737,0.5529999999999999,0.086,0.174
44,2018,Ethiopia,4.35,127,0.308,0.95,0.391,0.452,0.22,0.146
45,2018,Finland,7.632000000000001,1,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996
46,2018,France,6.489,23,1.2930000000000001,1.466,0.9079999999999999,0.52,0.098,0.17600000000000002
47,2018,Gabon,4.758,103,1.036,1.1640000000000001,0.40399999999999997,0.35600000000000004,0.032,0.052000000000000005
48,2018,Georgia,4.34,128,0.853,0.5920000000000001,0.643,0.375,0.038,0.215
