id,year,country,score,overall_rank,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,trust,residual
1,2017,Afghanistan,3.794,141,0.401,0.582,0.181,0.106,0.312,0.061,2.151
2,2017,Albania,4.644,109,0.996,0.804,0.731,0.381,0.201,0.04,1.49
3,2017,Algeria,5.872,53,1.092,1.146,0.618,0.233,0.069,0.146,2.568
4,2017,Angola,3.795,140,0.858,1.104,0.05,0,0.098,0.07,1.614
5,2017,Argentina,6.599,24,1.185,1.44,0.695,0.495,0.109,0.06,2.614
6,2017,Armenia,4.376,121,0.901,1.007,0.638,0.198,0.083,0.027,1.521
7,2017,Australia,7.284,9,1.484,1.51,0.844,0.602,0.478,0.301,2.065
8,2017,Austria,7.006,13,1.487,1.46,0.815,0.568,0.316,0.221,2.139
9,2017,Azerbaijan,7.342,85,1.154,1.152,0.541,0.398,0.045,0.181,1.762
10,2017,Bahrain,6.087,41,1.488,1.323,0.653,0.537,0.173,0.257,1.656
11,2017,Bangladesh,4.608,110,0.587,0.735,0.533,0.478,0.172,0.124,1.979
12,2017,Belarus,5.569,67,1.157,1.445,0.638,0.295,0.155,0.156,1.723
13,2017,Belgium,6.891,17,1.464,1.462,0.818,0.54,0.232,0.251,2.124
14,2017,Belize,5.956,50,0.908,1.081,0.45,0.548,0.24,0.097,2.632
15,2017,Benin,3.657,143,0.431,0.435,0.21,0.426,0.208,0.061,1.886
16,2017,Bhutan,5.011,97,0.885,1.34,0.496,0.502,0.474,0.173,1.14
17,2017,Bolivia,5.823,58,0.834,1.228,0.474,0.559,0.226,0.06,2.443
18,2017,Bosnia and Herzegovina,5.182,90,0.982,1.069,0.705,0.204,0.329,0,1.892
19,2017,Botswana,3.766,142,1.122,1.222,0.342,0.505,0.099,0.099,0.378
20,2017,Brazil,6.635,22,1.107,1.431,0.617,0.437,0.162,0.111,2.769
21,2017,Bulgaria,4.714,105,1.161,1.434,0.708,0.289,0.113,0.011,0.996
22,2017,Burkina Faso,4.032,134,0.35,1.043,0.216,0.324,0.251,0.12,1.727
23,2017,Burundi,2.905,154,0.092,0.63,0.152,0.06,0.204,0.084,1.683
24,2017,Cambodia,4.168,129,0.602,1.006,0.43,0.633,0.386,0.068,1.043
25,2017,Cameroon,4.695,107,0.564,0.946,0.133,0.43,0.236,0.051,2.334
26,2017,Canada,7.316,7,1.479,1.481,0.835,0.611,0.436,0.287,2.187
27,2017,Central African Republic,2.693,155,0,0,0.019,0.271,0.281,0.057,2.066
28,2017,Chad,3.936,137,0.438,0.954,0.041,0.162,0.216,0.054,2.071
29,2017,Chile,6.652,20,1.253,1.284,0.819,0.377,0.327,0.082,2.51
30,2017,China,5.273,79,1.081,1.161,0.741,0.473,0.029,0.023,1.765
31,2017,Colombia,6.357,36,1.071,1.402,0.595,0.477,0.149,0.047,2.616
32,2017,Republic of Congo,4.291,124,0.809,0.832,0.29,0.435,0.121,0.08,1.724
33,2017,Democratic Republic of the Congo,4.28,126,0.092,1.229,0.191,0.236,0.246,0.06,2.225
34,2017,Costa Rica,7.079,12,1.11,1.416,0.76,0.58,0.215,0.1,2.899
35,2017,Croatia,5.293,77,1.223,0.968,0.701,0.256,0.248,0.043,1.854
36,2017,Cyprus,5.621,65,1.356,1.131,0.845,0.355,0.271,0.041,1.621
37,2017,Czech Republic,6.609,23,1.353,1.434,0.754,0.491,0.088,0.037,2.452
38,2017,Denmark,7.522,2,1.482,1.551,0.793,0.626,0.355,0.401,2.314
39,2017,Dominican Republic,5.23,86,1.079,1.402,0.575,0.553,0.187,0.114,1.319
40,2017,Ecuador,6.008,44,1.001,1.286,0.686,0.455,0.15,0.14,2.29
41,2017,Egypt,4.735,104,0.99,0.997,0.52,0.282,0.129,0.114,1.702
42,2017,El Salvador,6.003,45,0.91,1.182,0.596,0.432,0.078,0.09,2.715
43,2017,Estonia,5.611,66,1.321,1.477,0.695,0.479,0.099,0.183,1.358
44,2017,Ethiopia,4.46,119,0.339,0.865,0.353,0.409,0.313,0.165,2.016
45,2017,Finland,7.469,5,1.444,1.54,0.809,0.618,0.245,0.383,2.43
46,2017,France,6.442,31,1.431,1.388,0.844,0.47,0.13,0.173,2.006
47,2017,Gabon,4.465,118,1.198,1.156,0.357,0.312,0.044,0.076,1.323
48,2017,Georgia,4.286,125,0.951,0.571,0.65,0.309,0.054,0.252,1.5
49,2017,Germany,6.951,16,1.488,1.473,0.799,0.563,0.336,0.277,2.016
50,2017,Ghana,4.12,131,0.667,0.874,0.296,0.423,0.257,0.025,1.578
51,2017,Greece,5.227,87,1.289,1.239,0.81,0.096,0,0.043,1.749
52,2017,Guatemala,6.454,29,0.872,1.256,0.54,0.531,0.283,0.077,2.894
53,2017,Guinea,3.507,149,0.245,0.791,0.194,0.349,0.265,0.111,1.552
54,2017,Haiti,3.603,145,0.369,0.64,0.277,0.03,0.489,0.1,1.697
55,2017,Honduras,5.181,91,0.731,1.144,0.583,0.348,0.236,0.073,2.066
56,2017,Hong Kong,5.472,71,1.552,1.263,0.943,0.491,0.374,0.294,0.555
57,2017,Hungary,5.324,75,1.286,1.343,0.688,0.176,0.078,0.037,1.716
58,2017,Iceland,7.504,3,1.481,1.611,0.834,0.627,0.476,0.154,2.323
59,2017,India,4.315,122,0.792,0.754,0.455,0.47,0.232,0.092,1.519
60,2017,Indonesia,5.262,81,0.996,1.274,0.492,0.443,0.612,0.015,1.429
61,2017,Iran,4.692,108,1.157,0.712,0.639,0.249,0.387,0.049,1.499
62,2017,Iraq,4.497,117,1.103,0.979,0.501,0.289,0.2,0.107,1.319
63,2017,Ireland,6.977,15,1.536,1.558,0.81,0.573,0.428,0.298,1.774
