id,year,country,score,overall_rank,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
1,2020,Afghanistan,2.567,153,0.301,0.356,0.266,0,0.135,0.001
2,2020,Albania,4.883,105,0.907,0.83,0.846,0.462,0.171,0.025
3,2020,Algeria,5.005,100,0.944,1.143,0.745,0.084,0.119,0.129
4,2020,Argentina,5.975,55,1.028,1.373,0.85,0.521,0.07,0.06
5,2020,Armenia,4.677,116,0.808,1.035,0.776,0.378,0.107,0.105
6,2020,Australia,7.223,12,1.31,1.477,1.023,0.622,0.325,0.336
7,2020,Austria,7.294,9,1.317,1.437,1.001,0.603,0.256,0.281
8,2020,Azerbaijan,5.165,89,0.99,1.181,0.731,0.468,0.04,0.247
9,2020,Bahrain,6.227,40,1.297,1.315,0.839,0.61,0.287,0.127
10,2020,Bangladesh,4.833,107,0.556,0.869,0.695,0.604,0.177,0.177
11,2020,Belarus,5.54,75,1.019,1.387,0.753,0.291,0.09,0.194
12,2020,Belgium,6.864,20,1.296,1.399,0.965,0.5,0.147,0.209
13,2020,Benin,5.216,86,0.366,0.352,0.328,0.406,0.197,0.126
14,2020,Bolivia,5.747,65,0.731,1.142,0.662,0.574,0.138,0.073
15,2020,Bosnia and Herzegovina,5.674,69,0.918,1.204,0.814,0.305,0.264,0.001
16,2020,Botswana,3.479,147,0.998,1.086,0.494,0.509,0.033,0.102
17,2020,Brazil,6.376,32,0.953,1.363,0.766,0.483,0.132,0.107
18,2020,Bulgaria,5.102,96,1.047,1.461,0.778,0.418,0.104,0
19,2020,Burkina Faso,4.769,112,0.302,0.929,0.313,0.322,0.186,0.126
20,2020,Burundi,3.775,140,0,0.404,0.295,0.275,0.187,0.212
21,2020,Cambodia,4.848,106,0.545,1.071,0.588,0.675,0.233,0.073
22,2020,Cameroon,5.085,98,0.504,0.9,0.27,0.439,0.198,0.054
23,2020,Canada,7.232,11,1.302,1.435,1.023,0.644,0.282,0.352
24,2020,Central African Republic,3.476,149,0.041,0,0,0.293,0.254,0.028
25,2020,Chad,4.423,127,0.302,0.739,0.109,0.229,0.211,0.086
26,2020,Chile,6.228,39,1.097,1.323,0.889,0.417,0.156,0.063
27,2020,China,5.124,94,0.991,1.132,0.867,0.602,0.079,0.117
28,2020,Colombia,6.163,44,0.932,1.334,0.81,0.527,0.092,0.046
29,2020,Comoros,4.289,134,0.416,0.723,0.437,0.181,0.259,0.1
30,2020,Congo (Brazzaville),5.194,88,0.634,0.758,0.458,0.387,0.117,0.119
31,2020,Congo (Kinshasa),4.311,131,0.062,0.833,0.277,0.365,0.254,0.081
32,2020,Costa Rica,7.121,15,0.981,1.375,0.94,0.645,0.131,0.096
33,2020,Croatia,5.505,79,1.109,1.311,0.901,0.381,0.114,0.012
34,2020,Cyprus,6.159,45,1.213,1.149,1.026,0.459,0.228,0.051
35,2020,Czech Republic,6.911,19,1.212,1.405,0.895,0.506,0.046,0.05
36,2020,Denmark,7.646,2,1.327,1.503,0.979,0.665,0.243,0.495
37,2020,Dominican Republic,5.689,68,0.983,1.329,0.742,0.563,0.112,0.116
38,2020,Ecuador,5.925,58,0.853,1.221,0.839,0.555,0.115,0.087
39,2020,Egypt,4.151,138,0.875,0.983,0.597,0.374,0.069,0.095
40,2020,El Salvador,6.348,34,0.749,1.149,0.753,0.524,0.119,0.117
41,2020,Estonia,6.022,51,1.192,1.453,0.843,0.577,0.125,0.202
42,2020,Ethiopia,4.186,136,0.315,1.001,0.484,0.413,0.228,0.117
43,2020,Finland,7.809,1,1.285,1.5,0.961,0.662,0.16,0.478
44,2020,France,6.664,23,1.268,1.459,1.03,0.514,0.113,0.227
45,2020,Gabon,4.829,108,0.988,1.106,0.523,0.369,0.052,0.056
46,2020,Gambia,4.751,113,0.257,0.883,0.353,0.403,0.426,0.158
47,2020,Georgia,4.673,117,0.847,0.731,0.695,0.485,0.048,0.174
48,2020,Germany,7.076,17,1.314,1.369,0.972,0.564,0.252,0.309
49,2020,Ghana,5.148,91,0.576,0.966,0.432,0.477,0.261,0.057
50,2020,Greece,5.515,77,1.128,1.169,0.979,0.174,0,0.049
51,2020,Guatemala,6.399,29,0.754,1.174,0.706,0.613,0.171,0.098
52,2020,Guinea,4.949,102,0.39,0.751,0.334,0.372,0.249,0.112
53,2020,Haiti,3.721,142,0.285,0.647,0.374,0.169,0.464,0.162
54,2020,Honduras,5.953,56,0.599,1.187,0.792,0.568,0.257,0.087
55,2020,Hong Kong,5.51,78,1.377,1.244,1.137,0.459,0.288,0.332
56,2020,Hungary,6,53,1.164,1.423,0.807,0.386,0.07,0.028
57,2020,Iceland,7.504,4,1.327,1.548,1.001,0.662,0.362,0.145
58,2020,India,3.573,144,0.731,0.644,0.541,0.581,0.237,0.106
59,2020,Indonesia,5.286,84,0.892,1.155,0.61,0.568,0.543,0.038
60,2020,Iran,4.672,118,1.029,0.886,0.749,0.301,0.277,0.143
61,2020,Iraq,4.785,110,0.982,1.011,0.529,0.284,0.153,0.073
62,2020,Ireland,7.094,16,1.447,1.471,0.976,0.588,0.295,0.373
63,2020,Israel,7.129,14,1.216,1.403,1.008,0.421,0.267,0.1
64,2020,Italy,6.387,30,1.236,1.347,1.023,0.321,0.17,0.04
65,2020,Ivory Coast,5.233,85,0.537,0.8,0.155,0.397,0.17,0.093
66,2020,Jamaica,5.89,60,0.779,1.408,0.788,0.553,0.116,0.03
67,2020,Japan,5.871,62,1.267,1.332,1.073,0.495,0.036,0.181
68,2020,Jordan,4.633,119,0.785,1.14,0.778,0.425,0.091,0.152
69,2020,Kazakhstan,6.058,50,1.123,1.453,0.699,0.497,0.154,0.11
70,2020,Kenya,4.583,121,0.476,0.905,0.536,0.519,0.394,0.067
71,2020,Kosovo,6.325,35,0.84,1.184,0.673,0.557,0.325,0.009
72,2020,Kuwait,6.102,48,1.425,1.245,0.776,0.57,0.133,0.113
73,2020,Kyrgyzstan,5.542,74,0.513,1.341,0.681,0.615,0.301,0.03
74,2020,Laos,4.889,104,0.715,0.987,0.486,0.612,0.273,0.194
